iter	Passed	Remaining
0	1414	1413383
1	2754	1374356
2	4101	1363077
3	5496	1368599
4	6870	1367222
5	8245	1365954
6	9621	1364813
7	11023	1366892
8	12405	1365976
9	13776	1363836
10	15162	1363284
11	16541	1361951
12	17903	1359271
13	19318	1360556
14	20810	1366555
15	22290	1370895
16	23772	1374594
17	25192	1374394
18	26625	1374741
19	28141	1378943
20	29581	1379055
21	30963	1376476
22	32377	1375357
23	33721	1371327
24	35117	1369576
25	36642	1372686
26	38052	1371305
27	39471	1370236
28	40909	1369751
29	42296	1367583
30	43742	1367310
31	45180	1366711
32	46593	1365342
33	48056	1365383
34	49523	1365429
35	50973	1364944
36	52407	1364007
37	53825	1362647
38	55264	1361771
39	56691	1360587
40	58098	1358939
41	59578	1358949
42	60992	1357442
43	62444	1356755
44	63881	1355717
45	65324	1354774
46	66748	1353440
47	68149	1351631
48	69526	1349377
49	70943	1347923
50	72416	1347519
51	73791	1345283
52	75192	1343530
53	76682	1343368
54	78076	1341490
55	79523	1340537
56	80921	1338760
57	82340	1337321
58	83761	1335929
59	85146	1333968
60	86624	1333442
61	88002	1331385
62	89419	1329935
63	90819	1328234
64	92232	1326726
65	93636	1325098
66	95031	1323345
67	96459	1322066
68	97919	1321204
69	99330	1319679
70	100792	1318823
71	102178	1316964
72	103543	1314855
73	105011	1314064
74	106365	1311841
75	107749	1310007
76	109204	1309037
77	110616	1307544
78	111984	1305545
79	113444	1304612
80	114845	1302997
81	116258	1301525
82	117663	1299969
83	119040	1298109
84	120453	1296647
85	121946	1296040
86	123336	1294326
87	124720	1292562
88	126156	1291336
89	127585	1290034
90	128960	1288184
91	130377	1286770
92	131720	1284630
93	133114	1282997
94	134583	1282087
95	135947	1280171
96	137350	1278632
97	138808	1277605
98	140221	1276153
99	141676	1275091
100	143073	1273492
101	144503	1272194
102	145882	1270450
103	147257	1268683
104	148696	1267457
105	150144	1266313
106	151544	1264762
107	152995	1263629
108	154406	1262167
109	155792	1260506
110	157188	1258922
111	158603	1257502
112	159961	1255623
113	161384	1254269
114	162893	1253569
115	164341	1252397
116	165721	1250701
117	167149	1249369
118	168598	1248193
119	170003	1246695
120	171458	1245550
121	172911	1244397
122	174288	1242690
123	175681	1241107
124	177146	1240022
125	178597	1238844
126	179984	1237216
127	181428	1235978
128	182828	1234447
129	184195	1232692
130	185650	1231526
131	187002	1229682
132	188432	1228351
133	189859	1226999
134	191281	1225615
135	192730	1224405
136	194165	1223100
137	195548	1221470
138	196964	1220044
139	198407	1218787
140	199778	1217089
141	201176	1215562
142	202560	1213947
143	203974	1212514
144	205423	1211288
145	206797	1209623
146	208245	1208390
147	209630	1206792
148	211047	1205376
149	212405	1203633
150	213779	1201979
151	215219	1200696
152	216650	1199368
153	218025	1197726
154	219466	1196445
155	220859	1194905
156	222283	1193534
157	223662	1191921
158	225120	1190730
159	226625	1189785
160	227983	1188063
161	229368	1186486
162	230787	1185087
163	232207	1183691
164	233581	1182065
165	234998	1180656
166	236386	1179103
167	237836	1177859
168	239289	1176624
169	240690	1175134
170	242111	1173747
171	243530	1172343
172	244944	1170921
173	246348	1169447
174	247806	1168230
175	249231	1166855
176	250591	1165180
177	251986	1163669
178	253445	1162450
179	254820	1160847
180	256224	1159380
181	257676	1158129
182	259050	1156523
183	260462	1155092
184	261870	1153644
185	263263	1152129
186	264683	1150735
187	266086	1149267
188	267539	1148012
189	268984	1146725
190	270425	1145414
191	271826	1143935
192	273228	1142461
193	274639	1141027
194	276143	1139978
195	277508	1138350
196	278905	1136857
197	280392	1135730
198	281805	1134302
199	283214	1132857
200	284631	1131444
201	285989	1129801
202	287388	1128317
203	288810	1126925
204	290225	1125507
205	291604	1123951
206	293052	1122661
207	294471	1121257
208	295900	1119890
209	297322	1118499
210	298795	1117295
211	300216	1115899
212	301600	1114362
213	303101	1113262
214	304508	1111811
215	305898	1110296
216	307279	1108753
217	308746	1107520
218	310136	1106012
219	311539	1104550
220	312985	1103237
221	314376	1101733
222	315783	1100285
223	317251	1099050
224	318649	1097571
225	319999	1095925
226	321386	1094414
227	322773	1092898
228	324172	1091426
229	325624	1090135
230	327096	1088904
231	328538	1087577
232	329954	1086160
233	331357	1084701
234	332793	1083348
235	334187	1081862
236	335602	1080440
237	337012	1079007
238	338390	1077468
239	339825	1076113
240	341259	1074753
241	342691	1073389
242	344072	1071864
243	345525	1070562
244	346901	1069023
245	348335	1067663
246	349778	1066329
247	351222	1064995
248	352693	1063746
249	354171	1062515
250	355685	1061389
251	357105	1059981
252	358474	1058419
253	359888	1056995
254	361271	1055480
255	362646	1053941
256	364095	1052617
257	365489	1051137
258	366902	1049709
259	368366	1048428
